Title,Ingredients,Removed amounts and measurements
Vegan-Friendly Falafel,"['1 pound dry garbanzo beans', '1 onion, quartered', '1 potato, peeled and quartered', '4 cloves garlic, minced', '½ cup cilantro leaves, chopped', '1 teaspoon ground coriander', '1 teaspoon ground cumin', '2 teaspoons salt', '½ teaspoon ground black pepper', '½ teaspoon cayenne pepper', '2 teaspoons fresh lemon juice', '1 tablespoon olive oil', '1 tablespoon all-purpose flour', '2 teaspoons baking soda', '2 cups canola oil']","['beans','onion','potato','clove','cilantro','coriander','cumin','tea','tea','cayenne','tea','oil','flour','baking soda','oil']"
Waffled Falafel,"['cooking spray', '2 (15 ounce) cans garbanzo beans (chickpeas), drained and rinsed', '1 medium onion, chopped', '2 large egg whites', '¼ cup chopped fresh cilantro', '¼ cup chopped fresh parsley', '3 cloves roasted garlic, or more to taste', '1 ½ tablespoons all-purpose flour', '2 teaspoons ground cumin', '1 ¾ teaspoons salt', '1 teaspoon ground coriander', '¼ teaspoon ground black pepper', '¼ teaspoon cayenne pepper', '1 pinch ground cardamom']","['cooking spray','peas','onion','egg','cilantro','parsley','clove','flour','cumin','tea','coriander','tea','cayenne','cardamom']"
Baked Falafel,"['¼ cup chopped onion', '1 (15 ounce) can garbanzo beans, rinsed and drained', '¼ cup chopped fresh parsley', '3 cloves garlic, minced', '1 teaspoon ground cumin', '¼ teaspoon ground coriander', '¼ teaspoon salt', '¼ teaspoon baking soda', '1 tablespoon all-purpose flour', '1 egg, beaten', '2 teaspoons olive oil']","['onion','beans','parsley','clove','cumin','coriander','tea','baking soda','flour','egg','oil']"
Southwestern Falafel,"['1 quart vegetable oil for frying, or as needed', '1 onion, quartered', '1 small green bell pepper, chopped', '1 egg', '3 cloves garlic', '1 (1.25 ounce) package dry taco seasoning mix', '2 teaspoons baking powder', '2 teaspoons peanut oil', '1 teaspoon ground cumin', '1 teaspoon salt', '1 pinch cayenne pepper', '1 (16 ounce) can pinto beans, drained', '1 dash hot sauce, or to taste', '1 cup dry bread crumbs, or more as needed']","['oil','onion','pepper','egg','clove','taco','baking powder','oil','cumin','tea','cayenne','beans','hot sauce','rum']"
Buffalo Chicken Wraps,"['1 tablespoon vegetable oil', '1 tablespoon butter', '1 pound skinless, boneless chicken breasts, cut into bite-size pieces', '¼ cup hot sauce', '4 (10 inch) flour tortillas', '2 cups shredded lettuce', '1 celery stalk, diced', '½ cup blue cheese dressing']","['oil','butter','chicken','hot sauce','flour','lettuce','celery','cheese']"
B.L.A.T. Wraps,"['8 slices bacon', '4 (10 inch) flour tortillas', '4 tablespoons Ranch-style salad dressing', '1 avocado - peeled, pitted and diced', '1 tomato, chopped', '1 cup shredded lettuce']","['bacon','flour','4 tablespoons ranch-style salad dressing','avocado','tomato','lettuce']"
Chef John's Chicken Lettuce Wraps,"['1 ½ pounds skinless, boneless chicken thighs, coarsely chopped', '1 (8 ounce) can water chestnuts, drained and minced', '1 cup diced shiitake mushroom caps', '½ cup minced yellow onion', '⅓ cup chopped green onion', '1 tablespoon soy sauce', '1 tablespoon freshly grated ginger', '2 teaspoons brown sugar', '¼ cup chicken stock', '¼ cup rice wine vinegar', '4 cloves garlic, minced', '1 tablespoon ketchup', '1 tablespoon soy sauce', '2 teaspoons sesame oil', '2 teaspoons brown sugar', '½ teaspoon red pepper flakes', '½ teaspoon dry mustard', '2 tablespoons vegetable oil', '1 ½ tablespoons chopped fresh cilantro, or to taste', '1 ½ tablespoons chopped fresh basil, or to taste', '1 ½ tablespoons chopped green onion, or to taste', '16 leaves iceberg lettuce, or as needed']","['chicken','chestnuts','mushroom','onion','onion','soy sauce','gin','sugar','chicken','ice','clove','ketchup','soy sauce','oil','sugar','tea','tea','oil','cilantro','basil','onion','lettuce']"
Simple Sweet and Spicy Chicken Wraps,"['½ cup mayonnaise', '¼ cup finely chopped seedless cucumber', '1 tablespoon honey', '½ teaspoon cayenne pepper', 'ground black pepper to taste', '2 tablespoons olive oil', '1 ½ pounds skinless, boneless chicken breast halves - cut into thin strips', '1 cup thick and chunky salsa', '1 tablespoon honey', '½ teaspoon cayenne pepper', '8 (10 inch) flour tortillas', '1 (10 ounce) bag baby spinach leaves']","['mayonnaise','cucumber','honey','cayenne','pepper','oil','chicken','salsa','honey','cayenne','flour','spinach']"
Quick Asian Lettuce Wraps,"['4 cups water', '2 cups uncooked white rice', '1 tablespoon vegetable oil', '1 pound ground pork', '1 bunch green onions, thinly sliced', '½ teaspoon minced garlic', '1 (14 ounce) package firm tofu, drained and cubed', '2 carrots, shredded', '3 tablespoons hoisin sauce', '2 tablespoons soy sauce', '1 teaspoon sesame oil', '¼ teaspoon hot chile paste', '1 head iceberg lettuce leaves, separated']","['water','ice','oil','pork','onion','garlic','tofu','carrot','hoisin sauce','soy sauce','oil','tea','lettuce']"
Emmi's Banana Wraps,"['4 teaspoons peanut butter', '2 tablespoons honey', '¼ cup shredded coconut', '½ cup granola', '1 banana, peeled and halved lengthwise', '2 large whole wheat tortillas']","['butter','honey','coconut','granola','banana','tortilla']"
Hummus and Prosciutto Wrap,"['12 thin slices prosciutto', '4 10-inch low carb whole wheat tortillas', '½ cup hummus spread, divided', '4 slices mozzarella cheese', '1 avocado - peeled, pitted, and sliced - divided', '4 small tomatoes, sliced', '1 cup torn lettuce leaves, divided']","['prosciutto','tortilla','hummus','mozzarella','avocado','tomato','lettuce']"
Good Morning Wrap,"['2 (10 inch) flour tortillas', '1 cup cottage cheese, divided', '1 cup chopped fresh pineapple, divided', '½ cup granola cereal, divided', '2 tablespoons brown sugar, divided', '2 bananas, sliced lengthwise']","['flour','cheese','apple','granola','sugar','banana']"
Crispy Vegetable Turkey Wrap,"['3 ounces HORMEL® NATURAL CHOICE® Oven Roasted Deli Turkey', '¼ cup Swiss chard, chopped', '3 sprigs daikon radish sprouts', '1 medium red bell pepper, cut into matchsticks', '1 medium yellow bell pepper, cut into matchsticks', '1 medium orange bell pepper, cut into matchsticks', '1 (6 inch) whole grain tortilla or flatbread', '2 tablespoons rice wine vinegar', '1 ½ teaspoons soy sauce', '1 teaspoon honey', 'salt and ground black pepper to taste']","['turkey','swiss chard','daikon','pepper','pepper','pepper','bread','ice','soy sauce','honey','pepper']"
BLT Wraps,"['1 pound thick sliced bacon, cut into 1 inch pieces', '4 (12 inch) flour tortillas', '1 cup shredded Cheddar cheese', '½ head iceberg lettuce, shredded', '1 tomato, diced']","['bacon','flour','cheddar','lettuce','tomato']"
Buffalo Chicken and Ranch Wraps,"['1 pound thin-sliced bacon', '2 tablespoons bacon drippings', '3 pounds skinless, boneless chicken breast halves, cut into bite size pieces', '¼ cup Buffalo wing sauce', '2 tablespoons butter, melted', '12 (10 inch) flour tortillas', '1 cup diced fresh tomato', '¾ cup ranch dressing, divided']","['bacon','bacon','chicken','buffalo wing sauce','butter','flour','tomato','ranch dressing']"
Make Ahead Lunch Wraps,"['2 cups uncooked brown rice', '4 cups water', '4 (15 ounce) cans black beans', '2 (15.5 ounce) cans pinto beans', '1 (10 ounce) can whole kernel corn', '1 (10 ounce) can diced tomatoes and green chiles', '16 (10 inch) flour tortillas', '1 pound shredded pepperjack cheese']","['ice','water','beans','beans','corn','tomato','flour','cheese']"
Asian Pork Lettuce Wraps with Coconut-Lime Rice,"['2 ⅔ cups water', '½ teaspoon salt', '1 ⅓ cups long-grain white rice', '1 pound ground pork', '1 tablespoon vegetable oil', '½ cup diced red onion', '½ cup diced red bell pepper', '½ cup diced carrot', '½ cup chopped water chestnuts', '3 tablespoons grated fresh ginger', '⅓ cup low-sodium teriyaki sauce', '½ tablespoon honey', '¼ cup chopped fresh cilantro', '¼ cup unsweetened coconut milk', '1 tablespoon lime juice', '12 romaine leaves', '2 limes, cut into wedges', '1 tablespoon chopped fresh cilantro, or to taste']","['water','tea','ice','pork','oil','onion','pepper','carrot','chestnuts','gin','teriyaki sauce','honey','cilantro','coconut','lime','romaine','lime','cilantro']"
Cherry Chicken Lettuce Wraps,"['2 tablespoons canola oil, divided', '1 ¼ pounds skinless, boneless chicken breast halves, cut into bite-size pieces', '1 tablespoon minced fresh ginger root', '2 tablespoons rice vinegar', '2 tablespoons teriyaki sauce', '1 tablespoon honey', '1 pound dark sweet cherries, pitted and halved', '1 ½ cups shredded carrots', '½ cup chopped green onion', '⅓ cup toasted and sliced almonds', '12 lettuce leaves']","['oil','chicken','gin','ice','teriyaki sauce','honey','sweet cherries','carrot','onion','almond','lettuce']"
California Club Chicken Wraps,"['½ cup mayonnaise', '½ cup plain yogurt', '2 chipotle chiles in adobo sauce, finely chopped', '2 large spinach tortillas', '½ cup shredded lettuce, or to taste', '1 ½ cups shredded Monterey Jack cheese', '1 Haas avocado - peeled, pitted, and diced', '4 slices cooked bacon, chopped', '1 red onion, finely chopped', '1 tomato, chopped', '2 cooked chicken breasts, cut into chunks']","['mayonnaise','yogurt','adobo sauce','spinach','lettuce','monterey jack','avocado','bacon','onion','tomato','chicken']"
Buffalo Chicken and Ranch Wraps,"['1 pound thin-sliced bacon', '2 tablespoons bacon drippings', '3 pounds skinless, boneless chicken breast halves, cut into bite size pieces', '¼ cup Buffalo wing sauce', '2 tablespoons butter, melted', '12 (10 inch) flour tortillas', '1 cup diced fresh tomato', '¾ cup ranch dressing, divided']","['bacon','bacon','chicken','buffalo wing sauce','butter','flour','tomato','ranch dressing']"
Slaw-mmin' Wraps,"['2 tablespoons olive oil', '1 onion, chopped', '2 cloves garlic, crushed', '½ (16 ounce) package broccoli coleslaw mix', '1 cup shredded cabbage', '¾ cup cooked chicken breast, cut into bite-sized pieces', 'salt and pepper to taste', '1 (15 ounce) can garbanzo beans, undrained', '3 tablespoons mayonnaise', '2 tablespoons Dijon mustard', '1 teaspoon ground cumin', '4 cloves garlic, minced', '½ teaspoon onion powder', '½ teaspoon lemon pepper', 'salt and pepper to taste', '4 (10 inch) flour tortillas']","['oil','onion','clove','broccoli','cabbage','chicken','salt','beans','mayonnaise','dijon mustard','cumin','clove','onion','tea','salt','flour']"
Spicy Chipotle Turkey Wraps,"['½ cup mayonnaise', '1 tablespoon chopped chipotle chile in adobo sauce', '2 teaspoons adobo sauce from chipotle peppers', '4 (10 inch) whole wheat tortillas', '½ pound sliced smoked turkey', '1 (8 ounce) package Shredded Monterey jack cheese', '1 avocado - peeled, pitted and sliced', '4 romaine lettuce leaves']","['mayonnaise','adobo sauce','adobo sauce','tortilla','turkey','monterey jack','avocado','lettuce']"
Taco Turkey Wraps,"['⅔ cup sour cream', '½ cup pico de gallo salsa, drained', '2 tablespoons taco seasoning', '6 (8 inch) flour tortillas', '1 cup shredded Mexican cheese blend', '½ pound thinly sliced deli turkey breast']","['cream','pico de gallo','taco','flour','cheese','turkey']"
Egg Pesto Breakfast Wrap,"['2 eggs', '1 ½ teaspoons reduced-fat sour cream', '¼ cup shredded reduced-fat Cheddar cheese', '2 tablespoons finely chopped onion', '1 ½ teaspoons prepared pesto sauce', '3 grape tomatoes, sliced', '1 slice turkey bacon', '½ ounce marinated artichoke hearts, drained and thinly sliced', '1 10-inch flour tortilla', 'salt and pepper to taste']","['egg','cream','cheddar','onion','pesto','tomato','bacon','artichoke hearts','flour','salt']"
Turkey and Grape Wraps,"['4 cups chopped cooked turkey', '2 cups red seedless grapes, halved', '½ cup grated Parmesan cheese', '½ cup mayonnaise', 'salt and ground black pepper to taste', '4 (8 inch) flour tortillas', '4 large fresh spinach leaves']","['turkey','grapes','parmesan','mayonnaise','pepper','flour','spinach']"
Spicy Polynesian Wrap,"['2 pounds skinless, boneless chicken breast halves - cut into 1 inch strips', '1 (14 ounce) can coconut milk', '1 cup uncooked long grain white rice', '2 cups water', '1 ½ cups all-purpose flour', '1 ½ tablespoons curry powder', '1 tablespoon garlic salt', '¾ cup vegetable oil', '2 limes', '10 (10 inch) flour tortillas', '½ cup shredded coconut', '½ cup chopped green onions']","['chicken','coconut','ice','water','flour','curry powder','garlic','oil','lime','flour','coconut','onion']"
Crunchy Brunch Wrap,"['8 tablespoons reduced-fat peanut butter, or to taste', '8 whole wheat tortillas', '8 teaspoons honey, or to taste', '8 bananas, peeled', ""1 cup high-protein crisp rice and wheat cereal (such as Kellogg's® Special K®), or to taste""]","['butter','tortilla','honey','banana']"
Enchiladas,"['2 pounds lean ground beef', '1 large chopped onion', '⅛ teaspoon garlic salt', '12 (8 inch) flour tortillas', '2 teaspoons vegetable oil', '8 ounces shredded Colby cheese', '2 (19 ounce) cans enchilada sauce']","['beef','onion','garlic','flour','tea','cheese','enchilada sauce']"
Enchiladas Suizas,"['2 tablespoons butter', '⅔ cup chopped Spanish onion', '2 tablespoons all-purpose flour', '1 ½ cups chicken broth', '1 cup chopped green chile peppers', '1 clove garlic, minced', '¾ teaspoon salt', '1 dash ground cumin', '12 (8 inch) corn tortillas', 'canola oil for frying', '1 cup shredded Monterey Jack cheese', '1 cup shredded mild Cheddar cheese', '2 cups shredded, cooked chicken breast meat', '1 cup heavy cream', '¼ cup chopped green onion', '½ cup sliced green olives', '1 pint cherry tomatoes']","['butter','onion','flour','chicken','pepper','garlic','tea','cumin','corn','oil','monterey jack','cheddar','chicken','cream','onion','olives','tomato']"
Angela's Awesome Enchiladas,"['2 pounds skinless, boneless chicken breast meat - cut into chunks', '1 (10.75 ounce) can condensed cream of chicken soup', '1 ¼ cups sour cream', '¼ teaspoon chili powder', '1 tablespoon butter', '1 small onion, chopped', '1 (4 ounce) can chopped green chilies, drained', '1 (1.25 ounce) package mild taco seasoning mix', '1 bunch green onions, chopped, divided', '1 cup water', '1 teaspoon lime juice', '½ teaspoon onion powder', '½ teaspoon garlic powder', '5 (12 inch) flour tortillas', '3 cups Cheddar cheese, shredded, divided', '1 (10 ounce) can enchilada sauce', '1 (6 ounce) can sliced black olives']","['chicken','chicken','cream','chili','butter','onion','chili','taco','onion','water','tea','onion','garlic','flour','cheddar','enchilada sauce','olives']"
Enchiladas Verdes,"['2 cloves garlic', '3 serrano peppers', '2 ¼ pounds small green tomatillos, husks removed', '1 cup vegetable oil for frying', '9 corn tortillas', '3 cups water', '4 teaspoons chicken bouillon granules', '½ store-bought rotisserie chicken, meat removed and shredded', '¼ head iceberg lettuce, shredded', '1 cup cilantro leaves', '1 (8 ounce) container Mexican crema, crema fresca', '1 cup grated cotija cheese']","['clove','pepper','tomatillos','oil','corn','water','chicken','chicken','lettuce','cilantro','1 (8 ounce) container mexican crema, crema fresca','cheese']"
Jalapeno Cream Cheese Chicken Enchiladas,"['3 skinless, boneless chicken breast halves', '1 teaspoon cayenne pepper', '½ teaspoon garlic powder', 'salt and ground black pepper to taste', '2 tablespoons butter', '1 large onion, minced', '2 jalapeno peppers, seeded and minced (wear gloves)', '1 (8 ounce) package cream cheese', '1 tablespoon garlic powder', '½ teaspoon cayenne pepper', '½ teaspoon paprika', '½ teaspoon chili powder', '½ teaspoon ground cumin', '1 (28 ounce) can green enchilada sauce', '7 flour tortillas', '8 ounces shredded Monterey Jack cheese, divided']","['chicken','cayenne','garlic','pepper','butter','onion','jalapeno','cream','garlic','cayenne','paprika','chili','cumin','enchilada sauce','flour','monterey jack']"
